title,rating,votes
Hawaiian: The Legend of Eddie Aikau,6.9,557
Slaying the Badger,7.6,878
Elway To Marino,7.6,1111
LEGO Start Wars: The New Yoda Chronicles: Duel of the Skywalkers,6.1,10
The Incredible Dr. Pol: Jingle Pols,8.6,1967
Team Thor,7.8,10469
Fantastic Lies,8.1,1185
Four Falls of Buffalo,8.2,1240
Marvel Super Hero Adventures: Frost Fight!,5,949
Alice Through the Looking Glass,6.2,117858
The Gospel According to Mac,6.9,432
Frozen Fever,6.8,17193
Catholics vs. Convicts,7.2,608
Sanjay's Super Team,6.8,5379
I Hate Christian Laettner,7.7,1673
Of Miracles and Men,8.2,1079
Riley's First Date?,7.4,8850
Hulk: Where Monsters Dwell,5.4,1372
Inner Workings,7.7,5147
This Magic Moment,5.5,439
Mission Pluto,5.8,236
Trojan War,5.6,6505
Phi Slama Jama,6.9,557
Doc & Darryl,7.2,595
Bride & Prejudice,6.2,21457
United Sharks of America,6.6,14
World's Greatest Dogs,6.7,21
Incredible! The Story of Dr. Pol,8,25
Nature Boom Time,8.2,12
Big Cat Games,6.4,9
Little Giant,6.4,30047
Generation YouTube,7.1,23
The Book of Once Upon a Time,5.1,12
Party Animals,6.5,14208
Shanghai Disney Resort Grand Opening Gala,7.3,24
Olaf's Frozen Adventure,5.6,13611
Black Pharaohs: Empire of Gold,4.5,215
Team Thor: Part 2,7.4,6208
Team Darryl,6.6,3640
Bao,7.5,32307
Mickey and the Roadster Racers,6,666
Auntie Edna,7.1,3692
The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,7.5,370
Nature Boy,7.7,199
The Two Bills,8,786431
Tut's Treasures: Hidden Secrets,7.3,275
Tree Climbing Lions,6.3,26
Fearless Adventures with Jack Randall,6.1,86
Giants of the Deep Blue,6.7,76
Big Sharks Rule,5.7,14
Wild Uganda,7.3,31
Animal Showdown,3.6,7
Disney Illuminations Firework Show Disneyland Paris,7,50
Riina: le verità nascoste,6.3,6
What Sam Sees,6,7
Love & Vets,8.2,31
Jaguar Beach Battle,7.8,224
Heroes of the Long Road Home with Martha Raddatz,7.1,23
Botswana,10,19
History's Greatest Mysteries,6.7,592
The Imagineering Story,8.9,3250
Mack Wrestles,5,93
Shop Class,7,93
Rogue Trip,7.1,204
Upside-Down Magic,5.4,1888
Apollo: Back to the Moon,6.6,93
Earth to Ned,6.6,421
Lost Treasures of Egypt,7.8,433
Kitbull,8,7374
Lamp Life,6.7,3947
Long Gone Summer,7.1,625
Spaced Out,4.4,698
Marvel Studios: Expanding the Universe,6.6,548
India from Above,7.6,243
Once Upon a Snowman,6.9,3340
Miraculous World : New York – United HeroeZ,7.4,1009
From Our Family to Yours,7.2,121
Feliz NaviDAD,6.1,747
Forky Asks A Question: What Is Time?,6.7,2490
Prop Culture,8.1,902
High School Musical: The Musical: The Series: The Sing-Along,7.1,8523
The Big Fib,5.6,95
Loop,7.4,21600
Wind,7.7,269346
Maggie Simpson in Playdate with Destiny,6.7,2020
The Real Black Panther,6.9,255
"Mira, Royal Detective",7.5,343
Out,7.8,660243
Float,6.2,7
Calling All T.O.T.S.,6.2,19
Forky Asks A Question: What Is A Pet?,6.7,2490
Marvel's Ultimate Comics,6.2,96
Forky Asks A Question: What Is Money?,6.7,2490
Deion's Double Play,6.7,553
